school_id,school_name,county_name,street,city,zip,locale_label,grade_band,school_type,school_type_detail,teachers_fte,enrollment,title_i_status,title_i_school,free_or_reduced_price_lunch,farm_pct,lunch_program,pvt_pct_nonwhite,school_status
240012000492,Wellwood International Elementary,Baltimore County,2901 Smith Ave,Pikesville,21208,Suburb large,ES,public,magnet,32,487,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,216,0.44353182751540043,Yes participating without using any Provision or the CEP,NA,Open
240012000495,Westowne Elementary,Baltimore County,401 Harlem Ln,Catonsville,21228,Suburb large,ES,public,public,41,706,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,353,0.5,Yes participating without using any Provision or the CEP,NA,Open
240012000497,Winand Elementary,Baltimore County,8301 Scotts Level Rd,Baltimore,21208,Suburb large,ES,public,public,32,505,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,267,0.5287128712871287,Yes participating without using any Provision or the CEP,NA,Open
240012000498,Winfield Elementary,Baltimore County,8300 Carlson Ln,Baltimore,21207,Suburb large,ES,public,public,31,502,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,353,0.703187250996016,Yes participating without using any Provision or the CEP,NA,Open
240012000499,Woodbridge Elementary,Baltimore County,1410 Pleasant Valley Dr,Baltimore,21228,Suburb large,ES,public,public,29,459,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,239,0.5206971677559913,Yes participating without using any Provision or the CEP,NA,Open
240012000501,Woodlawn Middle,Baltimore County,3033 Saint Lukes Ln,Baltimore,21207,Suburb large,MS,public,public,41,574,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,436,0.759581881533101,Yes participating without using any Provision or the CEP,NA,Open
240012000502,Woodlawn High Center for Pre-Eng. Res.,Baltimore County,1801 Woodlawn Dr,Baltimore,21207,Suburb large,HS,public,magnet,98,1575,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,997,0.633015873015873,Yes participating without using any Provision or the CEP,NA,Open
240012000503,Woodmoor Elementary,Baltimore County,3200 Elba Dr,Baltimore,21207,Suburb large,ES,public,public,33,621,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,420,0.6763285024154589,Yes participating without using any Provision or the CEP,NA,Open
240012000777,Meadowood Education Center,Baltimore County,1849 Gywnn Oak Ave,Baltimore,21207,Suburb large,MS,public,public,7,36,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,33,0.9166666666666666,Yes participating without using any Provision or the CEP,NA,Open
240012000831,Rosedale Center,Baltimore County,7090 Golden Ring Road Suite 1,Baltimore,21237,Suburb large,MS/HS,public,public,31,90,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,71,0.7888888888888889,Yes participating without using any Provision or the CEP,NA,Open
240012000910,Afternoon Group Learning Centers,Baltimore County,105 W. Chesapeake Avenue,Towson,21204,City small,UG,public,public,0,0,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,NA,NA,Yes participating without using any Provision or the CEP,NA,Open
240012000917,Extended Day Learning Program,Baltimore County,105 W. Chesapeake Avenue,Towson,21204,City small,HS,public,public,NA,67,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,36,0.5373134328358209,Yes participating without using any Provision or the CEP,NA,Open
240012000925,Home Assignments-Elementary,Baltimore County,105 W. Chesapeake Avenue,Towson,21204,City small,ES,public,public,NA,3,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,NA,NA,Yes participating without using any Provision or the CEP,NA,Open
240012000935,Home Assignments-Secondary,Baltimore County,105 W. Chesapeake Avenue,Towson,21204,City small,MS/HS,public,public,NA,37,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,24,0.6486486486486487,Yes participating without using any Provision or the CEP,NA,Open
240012000936,Westchester Elementary,Baltimore County,2300 Old Frederick Rd,Baltimore,21228,Suburb large,ES,public,public,40,688,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,147,0.2136627906976744,Yes participating without using any Provision or the CEP,NA,Open
240012000938,Sollers Point/Southeastern Technical High,Baltimore County,1901 Delvale Avenue,Baltimore,21222,Suburb large,UG,public,magnet,0,0,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,NA,NA,Yes participating without using any Provision or the CEP,NA,Open
240012001159,New Town Elementary,Baltimore County,4924 New Town Blvd,Owings Mills,21117,Suburb large,ES,public,public,48,779,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,318,0.40821566110397944,Yes participating without using any Provision or the CEP,NA,Open
240012001341,Baltimore County Home & Hospital,Baltimore County,105 W. Chesapeake Avenue,Towson,21204,City small,UG,public,public,0,0,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,NA,NA,Yes participating without using any Provision or the CEP,NA,Open
240012001346,Glyndon Elementary,Baltimore County,445 Glyndon Dr,Reisterstown,21136,Suburb large,ES,public,public,30,535,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,329,0.6149532710280374,Yes participating without using any Provision or the CEP,NA,Open
240012001347,Owings Mills High,Baltimore County,124 Tollgate Rd,Owings Mills,21117,Suburb large,HS,public,public,79,1160,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,695,0.5991379310344828,Yes participating without using any Provision or the CEP,NA,Open
240012001372,Glenmar Elementary,Baltimore County,9700 Community Dr,Baltimore,21220,Suburb large,ES,public,public,22,327,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,195,0.5963302752293578,Yes participating without using any Provision or the CEP,NA,Open
240012001405,Woodholme Elementary,Baltimore County,300 Mt Wilson Ln,Baltimore,21208,Suburb large,ES,public,public,48,799,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,532,0.6658322903629537,Yes participating without using any Provision or the CEP,NA,Open
240012001406,Oliver Beach Elementary,Baltimore County,12912 Cunninghill Cove Rd,Baltimore,21220,Suburb large,ES,public,public,15,199,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,56,0.2814070351758794,Yes participating without using any Provision or the CEP,NA,Open
240012001422,Hereford Middle,Baltimore County,712 Corbett Rd,Monkton,21111,Rural fringe,MS,public,public,60,1007,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,66,0.06554121151936444,Yes participating without using any Provision or the CEP,NA,Open
240012001431,Northwest Academy of Health Sciences,Baltimore County,4627 Old Court Rd,Baltimore,21208,Suburb large,MS,public,public,49,819,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,540,0.6593406593406593,Yes participating without using any Provision or the CEP,NA,Open
240012001432,Hereford High,Baltimore County,17301 York Rd,Parkton,21120,Rural fringe,HS,public,public,74,1271,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,102,0.08025177025963807,Yes participating without using any Provision or the CEP,NA,Open
240012001433,Timonium Elementary,Baltimore County,2001 Eastridge Rd,Timonium,21093,Suburb large,ES,public,public,31,487,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,62,0.1273100616016427,Yes participating without using any Provision or the CEP,NA,Open
240012001434,Ridgely Middle,Baltimore County,121 Ridgely Road,Lutherville,21093,Suburb large,MS,public,public,72,1165,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,143,0.12274678111587983,Yes participating without using any Provision or the CEP,NA,Open
240012001435,White Oak School,Baltimore County,8401 Leefield Rd,Parkville,21234,Suburb large,ES,public,public,35,110,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,62,0.5636363636363636,Yes participating without using any Provision or the CEP,NA,Open
240012001438,General John Stricker Middle,Baltimore County,7855 Trappe Rd,Baltimore,21222,Suburb large,MS,public,public,54,728,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,527,0.7239010989010989,Yes participating without using any Provision or the CEP,NA,Open
240012001439,Golden Ring Middle,Baltimore County,6700 Kenwood Ave,Baltimore,21237,Suburb large,MS,public,public,47,763,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,541,0.709043250327654,Yes participating without using any Provision or the CEP,NA,Open
240012001440,Middle River Middle,Baltimore County,800 Middle River Rd,Baltimore,21220,Suburb large,MS,public,public,53,935,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,625,0.6684491978609626,Yes participating without using any Provision or the CEP,NA,Open
240012001547,New Town High,Baltimore County,4931 New Town Blvd,Owings Mills,21117,Suburb large,HS,public,public,70,1102,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,500,0.4537205081669691,Yes participating without using any Provision or the CEP,NA,Open
240012001574,Windsor Mill Middle,Baltimore County,8300 Windsor Mill Rd,Baltimore,21209,Suburb large,MS,public,public,34,593,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,374,0.6306913996627319,Yes participating without using any Provision or the CEP,NA,Open
240012001649,Crossroads Center,Baltimore County,11640 Crossroads Circle,Baltimore,21220,Suburb large,MS/HS,public,public,24,179,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,136,0.7597765363128491,Yes participating without using any Provision or the CEP,NA,Open
240012001653,Vincent Farm Elementary,Baltimore County,6019 Ebenezer Rd,White Marsh,21162,Suburb large,ES,public,public,42,753,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,299,0.39707835325365204,Yes participating without using any Provision or the CEP,NA,Open
240012001696,West Towson Elementary,Baltimore County,6916 North Charles Street,Baltimore,21204,City small,ES,public,public,30,474,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,24,0.05063291139240506,Yes participating without using any Provision or the CEP,NA,Open
240012001711,BCDC Educational Center,Baltimore County,105 W. Chesapeake Avenue,Towson,21204,City small,HS,public,public,NA,30,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,12,0.4,Yes participating without using any Provision or the CEP,NA,Open
240012001722,Mays Chapel Elementary,Baltimore County,12250 Roundwood Road,Timonium,21093,Suburb large,ES,public,public,44,747,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,190,0.2543507362784471,Yes participating without using any Provision or the CEP,NA,Open
240012001730,Lyons Mill Elementary,Baltimore County,9435 Lyons Mill Rd,Owings Mills,21117,Suburb large,ES,public,public,44,793,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,294,0.3707440100882724,Yes participating without using any Provision or the CEP,NA,Open
240012001750,Honeygo Elementary,Baltimore County,4816 Joppa Road,Perry Hall,21128,Suburb large,ES,public,public,36,630,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,121,0.19206349206349208,Yes participating without using any Provision or the CEP,NA,New
240012002945,Dogwood Elementary,Baltimore County,7215 Dogwood Rd,Baltimore,21244,Suburb large,ES,public,public,38,706,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,468,0.6628895184135978,Yes participating without using any Provision or the CEP,NA,Open
240012010500,Sparrows Point Middle,Baltimore County,7400 North Point Rd,Baltimore,21219,Suburb large,MS,public,public,38,627,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,290,0.4625199362041467,Yes participating without using any Provision or the CEP,NA,Open
240012090440,Padonia International Elementary,Baltimore County,9834 Greenside Dr,Cockeysville,21030,Suburb large,ES,public,public,35,511,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,340,0.6653620352250489,Yes participating without using any Provision or the CEP,NA,Open
240012090444,Joppa View Elementary,Baltimore County,8727 Honeygo Blvd,Baltimore,21128,Suburb large,ES,public,public,46,801,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,273,0.3408239700374532,Yes participating without using any Provision or the CEP,NA,Open
A0103925,Baltimore White Marsh Adventist School,Baltimore County,7427 ROSSVILLE BLVD,BALTIMORE,21237,Suburb large,ES/MS,private,private,4.4,34,NA,NA,NA,NA,NA,88,Open
A0103935,Cambridge School,Baltimore County,6200 N CHARLES STREET,BALTIMORE,21212,Suburb large,ES/MS,private,private,15.6,110,NA,NA,NA,NA,NA,21.8,Open
A0104039,Rosedale Baptist School,Baltimore County,9202 PHILADELPHIA RD,BALTIMORE,21237,Suburb large,All Grades,private,private,29.6,546,NA,NA,NA,NA,NA,50.97,Open
A0301710,Bridges Montessori,Baltimore County,2529 CONOWINGO RD,BEL AIR,21015,Suburb large,ES,private,private,3,48,NA,NA,NA,NA,NA,8.33,Open
A0301711,Bais Hamedrash & Mesivta Of Baltimore,Baltimore County,6823 OLD PIMLICO RD,BALTIMORE,21209,Suburb large,HS,private,private,5.3,97,NA,NA,NA,NA,NA,0,Open
A0301727,Life Source Christian School,Baltimore County,8855 BELAIR RD,BALTIMORE,21236,Suburb large,ES,private,private,1,10,NA,NA,NA,NA,NA,100,Open
A0301749,Montessori Manor,Baltimore County,3526 SWEET AIR RD,PHOENIX,21131,Suburb large,ES/MS,private,private,4,57,NA,NA,NA,NA,NA,9.09,Open
A0501794,Bais Yaakov Eva Winer High School,Baltimore County,6302 SMITH AVE,BALTIMORE,21209,Suburb large,HS,private,private,63.1,376,NA,NA,NA,NA,NA,0,Open
A0501829,Harbour School At Baltimore,Baltimore County,11251 DOLFIELD BLVD,OWINGS MILLS,21117,Suburb large,All Grades,private,private,23,159,NA,NA,NA,NA,NA,28.28,Open
A0501873,Sisters Academy Of Baltimore,Baltimore County,139 FIRST AVE,BALTIMORE,21227,Suburb large,MS,private,private,9.8,71,NA,NA,NA,NA,NA,98.57,Open
A0701172,Calvary Baptist School,Baltimore County,7321 MANCHESTER RD,BALTIMORE,21222,Suburb large,All Grades,private,private,13.4,142,NA,NA,NA,NA,NA,12.280000000000001,Open
A0701222,Milford Mill Church Child Development Center,Baltimore County,915 MILFORD MILL RD,BALTIMORE,21208,Suburb large,ES,private,private,1.9,22,NA,NA,NA,NA,NA,100,Open
A0901731,Mount Pleasant Christian School,Baltimore County,6000 RADECKE AVE,BALTIMORE,21206,Suburb large,ES,private,private,6.5,68,NA,NA,NA,NA,NA,99.99,Open
A0901784,The Trellis School,Baltimore County,14550 YORK RD,COCKEYSVILLE,21215,Suburb large,ES/MS,private,private,7,40,NA,NA,NA,NA,NA,35.89,Open
A1101188,Forbush School At Hunt Valley,Baltimore County,11201 PEPPER RD,HUNT VALLEY,21031,Suburb large,UG,private,private,11,68,NA,NA,NA,NA,NA,48.519999999999996,Open
A1101214,Mesivta Neimus Hatorah,Baltimore County,6104 PARK HEIGHTS AVE,BALTIMORE,21215,Suburb large,HS,private,private,6.6,27,NA,NA,NA,NA,NA,11.11,Open
A1301521,All About Children Learning Center,Baltimore County,1201 MAPLE AVE,ARBUTUS,21227,Suburb large,ES,private,private,1,10,NA,NA,NA,NA,NA,10,Open
A1301554,Gla Academy School Of Excellence,Baltimore County,6247 KENWOOD AVE,ROSEDALE,21237,Suburb large,ES,private,private,4,254,NA,NA,NA,NA,NA,99.99,Open
A1301601,Royal International Christian Academy,Baltimore County,10939 PHILADELPHIA RD # A1,WHITE MARSH,21162,Suburb large,All Grades,private,private,4.9,35,NA,NA,NA,NA,NA,6.45,Open
A1301620,Victory Day School,Baltimore County,808 BERRYMANS LN,REISTERSTOWN,21136,Suburb large,ES/MS,private,private,7.4,22,NA,NA,NA,NA,NA,88.23,Open
A1301622,Watson Hall Montessori School,Baltimore County,2402 MONTEBELLO TER,BALTIMORE,21214,Suburb large,ES,private,private,5.6,59,NA,NA,NA,NA,NA,78.56,Open
A1501812,Children's Home Diagnostic Center School,Baltimore County,205 BLOOMSBURY AVE,CATONSVILLE,21228,Suburb large,MS/HS,private,private,1,12,NA,NA,NA,NA,NA,83.32,Open
A1501883,Shafer Center For Early Intervention- The,Baltimore County,11500 CRONRIDGE DR STE 130,OWINGS MILLS,21117,Suburb large,ES,private,private,3.1,19,NA,NA,NA,NA,NA,57.879999999999995,Open
A1701896,Arrow Center For Education Tangram,Baltimore County,8830 ORCHARD TREE LN,BALTIMORE,21286,City small,UG,private,private,5,27,NA,NA,NA,NA,NA,NA,Open
A1701939,Life Source Christian School,Baltimore County,7000 ROSSVILLE BLVD B,BALTIMORE,21237,Suburb large,ES,private,private,2,20,NA,NA,NA,NA,NA,60,Open
A1701946,Mann Residential School,Baltimore County,6501 N CHARLES S,BALTIMORE,21204,City small,HS,private,private,14,53,NA,NA,NA,NA,NA,69.81,Open
A1701988,Yeshivas Toras Simcha,Baltimore County,7501 PARK HEIGHTS AVE,BALTIMORE,21208,Suburb large,ES,private,private,5.8,69,NA,NA,NA,NA,NA,0,Open
A1771136,Kinder-Praise Learning Center,Baltimore County,8916 LIBERTY RD,RANDALLSTOWN,21133,Suburb large,ES,private,private,1.3,17,NA,NA,NA,NA,NA,NA,Open
A1771158,The Learning Experience At Parkville,Baltimore County,8601 WALTHER BLVD,NOTTINGHAM,21236,Suburb large,ES,private,private,1,14,NA,NA,NA,NA,NA,NA,Open
A9103128,Al-Rahmah School,Baltimore County,6631 JOHNNYCAKE RD,BALTIMORE,21244,Suburb large,All Grades,private,private,41,360,NA,NA,NA,NA,NA,0.64,Open
A9103228,The Lamb Of God School,Baltimore County,1810 FAIRVIEW AVE,HALETHORPE,21228,Suburb large,ES/MS,private,private,12.4,137,NA,NA,NA,NA,NA,13.099999999999998,Open
A9103301,Torah Institute,Baltimore County,35 ROSEWOOD LN,OWINGS MILLS,21117,Suburb large,ES/MS,private,private,53.8,682,NA,NA,NA,NA,NA,0,Open
A9502058,Emmanuel Lutheran School,Baltimore County,929 INGLESIDE AVE,BALTIMORE,21228,Suburb large,ES/MS,private,private,11.6,126,NA,NA,NA,NA,NA,NA,Open
A9502160,Relay Children's Center,Baltimore County,1620 S ROLLING RD,BALTIMORE,21227,Suburb large,ES,private,private,1,10,NA,NA,NA,NA,NA,30,Open
A9701915,Villa Maria School,Baltimore County,2300 DULANEY VALLEY RD STE 1,LUTHVLE TIMON,21093,Rural fringe,ES/MS,private,private,14,75,NA,NA,NA,NA,NA,82.64999999999999,Open
A9701927,Youth In Transition School,Baltimore County,7205 RUTHERFORD RD,WINDSOR MILL,21244,Suburb large,MS/HS,private,private,14,80,NA,NA,NA,NA,NA,77.5,Open
A9902237,High Road School Of Baltimore County,Baltimore County,11685 CROSSROADS CIR SUITES S-U,WHITE MARSH,21220,Suburb large,MS/HS,private,private,6,55,NA,NA,NA,NA,NA,56.34,Open
AA000920,Maryvale Preparatory School,Baltimore County,11300 FALLS RD,LUTHERVILLE,21093,Suburb large,MS/HS,private,private,46.1,430,NA,NA,NA,NA,NA,16.029999999999998,Open
AA001396,St Pauls Lutheran School,Baltimore County,12022 JERUSALEM RD,KINGSVILLE,21087,Rural fringe,ES/MS,private,private,11.8,162,NA,NA,NA,NA,NA,12.39,Open
AA001400,St Peters Christian Day School,Baltimore County,7910 BELAIR RD,BALTIMORE,21236,Suburb large,ES,private,private,8.8,74,NA,NA,NA,NA,NA,63.05,Open
BB181393,St Pius X Church,Baltimore County,6432 YORK RD,BALTIMORE,21212,City small,ES/MS,private,private,11,147,NA,NA,NA,NA,NA,47.67,Open
K9302883,St Johns Lutheran School,Baltimore County,13300 MANOR RD,GLEN ARM,21057,Suburb large,ES,private,private,1,133,NA,NA,NA,NA,NA,7.69,Open
K9302887,Havenwood Church Preschool Center,Baltimore County,100 E RIDGELY RD,LUTHERVILLE,21093,Suburb large,ES,private,private,1,148,NA,NA,NA,NA,NA,7.14,Open
K9302941,Good Shepherd School,Baltimore County,1401 CARROLLTON AVE,BALTIMORE,21204,City small,ES,private,private,7.6,142,NA,NA,NA,NA,NA,0,Open
K9302964,Brown Memorial Weekday School,Baltimore County,6200 N CHARLES ST 1,BALTIMORE,21212,City small,ES,private,private,2,96,NA,NA,NA,NA,NA,0,Open
K9302989,Mount Providence Child Development Center,Baltimore County,701 GUN RD,BALTIMORE,21227,Suburb large,ES,private,private,1,47,NA,NA,NA,NA,NA,28.56,Open
K9303021,Apple Ridge Montessori School,Baltimore County,9389 FURROW AVE,ELLICOTT CITY,21042,Suburb large,ES,private,private,1,15,NA,NA,NA,NA,NA,66.66,Open
01934095,The Calverton School,Calvert County,300 CALVERTON SCHOOL RD,HUNTINGTOWN,20639,Rural fringe,All Grades,private,private,32.6,259,NA,NA,NA,NA,NA,27.919999999999998,Open
240015000027,Plum Point Middle,Calvert County,1475 Plum Point Rd,Huntingtown,20639,Rural fringe,MS,public,public,38,633,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,78,0.12322274881516587,Yes participating without using any Provision or the CEP,NA,Open
240015000504,Patuxent Appeal Elementary Campus,Calvert County,11655 Hg Trueman Rd,Lusby,20657,Rural fringe,ES,public,public,52,822,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS),Title I,373,0.4537712895377129,Yes participating without using any Provision or the CEP,NA,Open
240015000505,Beach Elementary,Calvert County,7900 Old Bayside Rd,Chesapeake Beach,20732,Town fringe,ES,public,public,31,530,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,60,0.11320754716981132,Yes participating without using any Provision or the CEP,NA,Open
240015000507,Calvert Middle,Calvert County,655 Chesapeake Blvd,Prince Frederick,20678,Rural fringe,MS,public,public,38,601,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,176,0.2928452579034942,Yes participating without using any Provision or the CEP,NA,Open
240015000508,Calvert High,Calvert County,520 Fox Run Blvd,Prince Frederick,20678,Rural fringe,HS,public,public,66,1147,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,289,0.25196163905841323,Yes participating without using any Provision or the CEP,NA,Open
240015000509,Calvert Country School,Calvert County,1350 Dares Beach Rd,Prince Frederick,20678,Rural fringe,All Grades,public,public,11,36,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,8,0.2222222222222222,Yes participating without using any Provision or the CEP,NA,Open
240015000511,Huntingtown Elementary,Calvert County,4345 Huntingtown Rd,Huntingtown,20639,Rural fringe,ES,public,public,29,504,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,69,0.13690476190476192,Yes participating without using any Provision or the CEP,NA,Open
240015000513,Mount Harmony Elementary,Calvert County,900 W Mount Harmony Rd,Owings,20736,Town fringe,ES,public,public,34,608,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,54,0.08881578947368421,Yes participating without using any Provision or the CEP,NA,Open
240015000514,Mutual Elementary,Calvert County,1455 Ball Rd,Port Republic,20676,Rural fringe,ES,public,public,28,413,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,78,0.18886198547215496,Yes participating without using any Provision or the CEP,NA,Open
240015000515,Northern Middle,Calvert County,2954 Chaneyville Rd,Owings,20736,Rural fringe,MS,public,public,35,675,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,61,0.09037037037037036,Yes participating without using any Provision or the CEP,NA,Open
240015000516,Northern High,Calvert County,2950 Chaneyville Rd,Owings,20736,Rural fringe,HS,public,public,80,1461,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,148,0.10130047912388775,Yes participating without using any Provision or the CEP,NA,Open
240015000517,Calvert Elementary,Calvert County,1450 Dares Beach Rd,Prince Frederick,20678,Rural fringe,ES,public,public,37,550,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,Title I,172,0.31272727272727274,Yes participating without using any Provision or the CEP,NA,Open
240015000611,Patuxent High,Calvert County,12485 Southern Connector Boule,Lusby,20657,Suburb small,HS,public,public,63,1047,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,329,0.3142311365807068,Yes participating without using any Provision or the CEP,NA,Open
240015000778,St Leonard Elementary,Calvert County,5370 St Leonard Rd,St Leonard,20685,Rural fringe,ES,public,public,36,527,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program,Title I,217,0.4117647058823529,Yes participating without using any Provision or the CEP,NA,Open
240015000790,Windy Hill Elementary,Calvert County,9550 Boyds Turn Rd,Owings,20736,Rural fringe,ES,public,public,39,647,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,107,0.16537867078825347,Yes participating without using any Provision or the CEP,NA,Open
240015000962,Career and Technology Academy,Calvert County,330 Dorsey Road,Prince Frederick,20678,Rural fringe,UG,public,public,21,0,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,NA,NA,Yes participating without using any Provision or the CEP,NA,Open
240015000967,Windy Hill Middle,Calvert County,9560 Boyds Turn Rd,Owings,20736,Rural fringe,MS,public,public,42,771,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,139,0.18028534370946822,Yes participating without using any Provision or the CEP,NA,Open
240015001102,Dowell Elementary,Calvert County,12680 H G Trueman Rd,Lusby,20657,Suburb small,ES,public,public,34,571,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,180,0.31523642732049034,Yes participating without using any Provision or the CEP,NA,Open
240015001342,Huntingtown High School,Calvert County,4125 N Solomons Island Rd,Huntingtown,20639,Rural fringe,HS,public,public,83,1464,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,136,0.09289617486338798,Yes participating without using any Provision or the CEP,NA,Open
240015001344,Calvert County Alternative School,Calvert County,520 Fox Run Blvd,Prince Frederick,20678,Rural fringe,HS,public,public,4,2,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,NA,NA,Yes participating without using any Provision or the CEP,NA,Open
240015001392,Southern Middle,Calvert County,9615 H G Trueman Rd,Lusby,20657,Rural fringe,MS,public,public,32,508,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,175,0.34448818897637795,Yes participating without using any Provision or the CEP,NA,Open
240015001505,Sunderland Elementary,Calvert County,150 Clyde Jones Rd,Sunderland,20689,Rural fringe,ES,public,public,38,697,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,99,0.14203730272596843,Yes participating without using any Provision or the CEP,NA,Open
240015001655,Barstow Elementary,Calvert County,295 Williams Rd,Prince Frederick,20678,Rural fringe,ES,public,public,36,613,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,180,0.2936378466557912,Yes participating without using any Provision or the CEP,NA,Open
240015002946,Mill Creek Middle,Calvert County,12200 Southern Connector Blvd,Lusby,20657,Suburb small,MS,public,public,31,521,School is eligible for Title I Targeted Assistance (TAS) but provides no program,Title I,184,0.3531669865642994,Yes participating without using any Provision or the CEP,NA,Open
240015090465,Plum Point Elementary,Calvert County,1245 Plum Point Rd,Huntingtown,20639,Rural fringe,ES,public,public,36,588,School is not eligible for either Title I Targeted Assistance or Schoolwide program,Title I,98,0.16666666666666666,Yes participating without using any Provision or the CEP,NA,Open
A1501855,Kings Landing Academy,Calvert County,2490 KINGS LANDING RD,HUNTINGTOWN,20639,Rural fringe,MS/HS,private,private,1,4,NA,NA,NA,NA,NA,0,Open
K9302626,Tidewater School,Calvert County,PO BOX 755,HUNTINGTOWN,20639,Rural fringe,ES,private,private,5.4,47,NA,NA,NA,NA,NA,20.669999999999998,Open
K9302653,Cardinal Hickey Academy,Calvert County,1601 W MOUNT HARMONY RD,OWINGS,20736,Town fringe,ES/MS,private,private,14.9,197,NA,NA,NA,NA,NA,3.9999999999999996,Open
240018000518,Colonel Richardson High School,Caroline County,25320 Richardson Rd,Federalsburg,21632,Rural distant,HS,public,public,40,526,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,278,0.5285171102661597,Yes participating without using any Provision or the CEP,NA,Open
240018000519,Colonel Richardson Middle School,Caroline County,25390 Richardson Rd,Federalsburg,21632,Rural distant,MS,public,public,33,424,School is eligible for Title I Schoolwide program (SWP) but provides no program,Title I,248,0.5849056603773585,Yes participating without using any Provision or the CEP,NA,Open
240018000520,Denton Elementary School,Caroline County,303 Sharp Rd,Denton,21629,Town distant,ES,public,public,50,721,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program,Title I,367,0.5090152565880721,Yes participating without using any Provision or the CEP,NA,Open
